question,answer
"What is artist with values artist_id: 1, name: AC/DC?","artist details are artist_id: 1, name: AC/DC."
"What is artist with values artist_id: 2, name: Accept?","artist details are artist_id: 2, name: Accept."
"What is artist with values artist_id: 3, name: Aerosmith?","artist details are artist_id: 3, name: Aerosmith."
"What is artist with values artist_id: 4, name: Alanis Morissette?","artist details are artist_id: 4, name: Alanis Morissette."
"What is artist with values artist_id: 5, name: Alice In Chains?","artist details are artist_id: 5, name: Alice In Chains."
"What is artist with values artist_id: 6, name: Antônio Carlos Jobim?","artist details are artist_id: 6, name: Antônio Carlos Jobim."
"What is artist with values artist_id: 7, name: Apocalyptica?","artist details are artist_id: 7, name: Apocalyptica."
"What is artist with values artist_id: 8, name: Audioslave?","artist details are artist_id: 8, name: Audioslave."
"What is artist with values artist_id: 9, name: BackBeat?","artist details are artist_id: 9, name: BackBeat."
"What is artist with values artist_id: 10, name: Billy Cobham?","artist details are artist_id: 10, name: Billy Cobham."
"What is artist with values artist_id: 11, name: Black Label Society?","artist details are artist_id: 11, name: Black Label Society."
"What is artist with values artist_id: 12, name: Black Sabbath?","artist details are artist_id: 12, name: Black Sabbath."
"What is artist with values artist_id: 13, name: Body Count?","artist details are artist_id: 13, name: Body Count."
"What is artist with values artist_id: 14, name: Bruce Dickinson?","artist details are artist_id: 14, name: Bruce Dickinson."
"What is artist with values artist_id: 15, name: Buddy Guy?","artist details are artist_id: 15, name: Buddy Guy."
"What is artist with values artist_id: 16, name: Caetano Veloso?","artist details are artist_id: 16, name: Caetano Veloso."
"What is artist with values artist_id: 17, name: Chico Buarque?","artist details are artist_id: 17, name: Chico Buarque."
"What is artist with values artist_id: 18, name: Chico Science & Nação Zumbi?","artist details are artist_id: 18, name: Chico Science & Nação Zumbi."
"What is artist with values artist_id: 19, name: Cidade Negra?","artist details are artist_id: 19, name: Cidade Negra."
"What is artist with values artist_id: 20, name: Cláudio Zoli?","artist details are artist_id: 20, name: Cláudio Zoli."
"What is artist with values artist_id: 21, name: Various Artists?","artist details are artist_id: 21, name: Various Artists."
"What is artist with values artist_id: 22, name: Led Zeppelin?","artist details are artist_id: 22, name: Led Zeppelin."
"What is artist with values artist_id: 23, name: Frank Zappa & Captain Beefheart?","artist details are artist_id: 23, name: Frank Zappa & Captain Beefheart."
"What is artist with values artist_id: 24, name: Marcos Valle?","artist details are artist_id: 24, name: Marcos Valle."
"What is artist with values artist_id: 25, name: Milton Nascimento & Bebeto?","artist details are artist_id: 25, name: Milton Nascimento & Bebeto."
"What is artist with values artist_id: 26, name: Azymuth?","artist details are artist_id: 26, name: Azymuth."
"What is artist with values artist_id: 27, name: Gilberto Gil?","artist details are artist_id: 27, name: Gilberto Gil."
"What is artist with values artist_id: 28, name: João Gilberto?","artist details are artist_id: 28, name: João Gilberto."
"What is artist with values artist_id: 29, name: Bebel Gilberto?","artist details are artist_id: 29, name: Bebel Gilberto."
"What is artist with values artist_id: 30, name: Jorge Vercilo?","artist details are artist_id: 30, name: Jorge Vercilo."
"What is artist with values artist_id: 31, name: Baby Consuelo?","artist details are artist_id: 31, name: Baby Consuelo."
"What is artist with values artist_id: 32, name: Ney Matogrosso?","artist details are artist_id: 32, name: Ney Matogrosso."
"What is artist with values artist_id: 33, name: Luiz Melodia?","artist details are artist_id: 33, name: Luiz Melodia."
"What is artist with values artist_id: 34, name: Nando Reis?","artist details are artist_id: 34, name: Nando Reis."
"What is artist with values artist_id: 35, name: Pedro Luís & A Parede?","artist details are artist_id: 35, name: Pedro Luís & A Parede."
"What is artist with values artist_id: 36, name: O Rappa?","artist details are artist_id: 36, name: O Rappa."
"What is artist with values artist_id: 37, name: Ed Motta?","artist details are artist_id: 37, name: Ed Motta."
"What is artist with values artist_id: 38, name: Banda Black Rio?","artist details are artist_id: 38, name: Banda Black Rio."
"What is artist with values artist_id: 39, name: Fernanda Porto?","artist details are artist_id: 39, name: Fernanda Porto."
"What is artist with values artist_id: 40, name: Os Cariocas?","artist details are artist_id: 40, name: Os Cariocas."
"What is artist with values artist_id: 41, name: Elis Regina?","artist details are artist_id: 41, name: Elis Regina."
"What is artist with values artist_id: 42, name: Milton Nascimento?","artist details are artist_id: 42, name: Milton Nascimento."
"What is artist with values artist_id: 43, name: A Cor Do Som?","artist details are artist_id: 43, name: A Cor Do Som."
"What is artist with values artist_id: 44, name: Kid Abelha?","artist details are artist_id: 44, name: Kid Abelha."
"What is artist with values artist_id: 45, name: Sandra De Sá?","artist details are artist_id: 45, name: Sandra De Sá."
"What is artist with values artist_id: 46, name: Jorge Ben?","artist details are artist_id: 46, name: Jorge Ben."
"What is artist with values artist_id: 47, name: Hermeto Pascoal?","artist details are artist_id: 47, name: Hermeto Pascoal."
"What is artist with values artist_id: 48, name: Barão Vermelho?","artist details are artist_id: 48, name: Barão Vermelho."
"What is artist with values artist_id: 49, name: Edson, DJ Marky & DJ Patife Featuring Fernanda Porto?","artist details are artist_id: 49, name: Edson, DJ Marky & DJ Patife Featuring Fernanda Porto."
"What is artist with values artist_id: 50, name: Metallica?","artist details are artist_id: 50, name: Metallica."
"What is artist with values artist_id: 51, name: Queen?","artist details are artist_id: 51, name: Queen."
"What is artist with values artist_id: 52, name: Kiss?","artist details are artist_id: 52, name: Kiss."
"What is artist with values artist_id: 53, name: Spyro Gyra?","artist details are artist_id: 53, name: Spyro Gyra."
"What is artist with values artist_id: 54, name: Green Day?","artist details are artist_id: 54, name: Green Day."
"What is artist with values artist_id: 55, name: David Coverdale?","artist details are artist_id: 55, name: David Coverdale."
"What is artist with values artist_id: 56, name: Gonzaguinha?","artist details are artist_id: 56, name: Gonzaguinha."
"What is artist with values artist_id: 57, name: Os Mutantes?","artist details are artist_id: 57, name: Os Mutantes."
"What is artist with values artist_id: 58, name: Deep Purple?","artist details are artist_id: 58, name: Deep Purple."
"What is artist with values artist_id: 59, name: Santana?","artist details are artist_id: 59, name: Santana."
"What is artist with values artist_id: 60, name: Santana Feat. Dave Matthews?","artist details are artist_id: 60, name: Santana Feat. Dave Matthews."
"What is artist with values artist_id: 61, name: Santana Feat. Everlast?","artist details are artist_id: 61, name: Santana Feat. Everlast."
"What is artist with values artist_id: 62, name: Santana Feat. Rob Thomas?","artist details are artist_id: 62, name: Santana Feat. Rob Thomas."
"What is artist with values artist_id: 63, name: Santana Feat. Lauryn Hill & Cee-Lo?","artist details are artist_id: 63, name: Santana Feat. Lauryn Hill & Cee-Lo."
"What is artist with values artist_id: 64, name: Santana Feat. The Project G&B?","artist details are artist_id: 64, name: Santana Feat. The Project G&B."
"What is artist with values artist_id: 65, name: Santana Feat. Maná?","artist details are artist_id: 65, name: Santana Feat. Maná."
"What is artist with values artist_id: 66, name: Santana Feat. Eagle-Eye Cherry?","artist details are artist_id: 66, name: Santana Feat. Eagle-Eye Cherry."
"What is artist with values artist_id: 67, name: Santana Feat. Eric Clapton?","artist details are artist_id: 67, name: Santana Feat. Eric Clapton."
"What is artist with values artist_id: 68, name: Miles Davis?","artist details are artist_id: 68, name: Miles Davis."
"What is artist with values artist_id: 69, name: Gene Krupa?","artist details are artist_id: 69, name: Gene Krupa."
"What is artist with values artist_id: 70, name: Toquinho & Vinícius?","artist details are artist_id: 70, name: Toquinho & Vinícius."
"What is artist with values artist_id: 71, name: Vinícius De Moraes & Baden Powell?","artist details are artist_id: 71, name: Vinícius De Moraes & Baden Powell."
"What is artist with values artist_id: 72, name: Vinícius De Moraes?","artist details are artist_id: 72, name: Vinícius De Moraes."
"What is artist with values artist_id: 73, name: Vinícius E Qurteto Em Cy?","artist details are artist_id: 73, name: Vinícius E Qurteto Em Cy."
"What is artist with values artist_id: 74, name: Vinícius E Odette Lara?","artist details are artist_id: 74, name: Vinícius E Odette Lara."
"What is artist with values artist_id: 75, name: Vinicius, Toquinho & Quarteto Em Cy?","artist details are artist_id: 75, name: Vinicius, Toquinho & Quarteto Em Cy."
"What is artist with values artist_id: 76, name: Creedence Clearwater Revival?","artist details are artist_id: 76, name: Creedence Clearwater Revival."
"What is artist with values artist_id: 77, name: Cássia Eller?","artist details are artist_id: 77, name: Cássia Eller."
"What is artist with values artist_id: 78, name: Def Leppard?","artist details are artist_id: 78, name: Def Leppard."
"What is artist with values artist_id: 79, name: Dennis Chambers?","artist details are artist_id: 79, name: Dennis Chambers."
"What is artist with values artist_id: 80, name: Djavan?","artist details are artist_id: 80, name: Djavan."
"What is artist with values artist_id: 81, name: Eric Clapton?","artist details are artist_id: 81, name: Eric Clapton."
"What is artist with values artist_id: 82, name: Faith No More?","artist details are artist_id: 82, name: Faith No More."
"What is artist with values artist_id: 83, name: Falamansa?","artist details are artist_id: 83, name: Falamansa."
"What is artist with values artist_id: 84, name: Foo Fighters?","artist details are artist_id: 84, name: Foo Fighters."
"What is artist with values artist_id: 85, name: Frank Sinatra?","artist details are artist_id: 85, name: Frank Sinatra."
"What is artist with values artist_id: 86, name: Funk Como Le Gusta?","artist details are artist_id: 86, name: Funk Como Le Gusta."
"What is artist with values artist_id: 87, name: Godsmack?","artist details are artist_id: 87, name: Godsmack."
"What is artist with values artist_id: 88, name: Guns N' Roses?","artist details are artist_id: 88, name: Guns N' Roses."
